Наименование;Артикул;Цена;Наличие
Диск FR-1 терка с отверстиями 1 мм.; 1010260;4 806.92 ;Есть
Диск FR-4+ терка с отверстиями 4 мм.; 1010312;4 806.92 ;Есть
Бамбуковый трехуровневый органайзер Mind Reader 3TIERBMB-BRN; 3TIERBMB-BRN;4 932 ;Есть
Нож для готового мяса серии V-Lo 305 мм. Dexter-Russell V140-12GE-PCP; 29343;2 694 ;Есть
Рукавица Kool–Tek Crewware KT0115; KT0115 ;5 005.03 ;Есть
Мусат алмазный серии V-Lo 305 мм. Dexter-Russell VS12-PCP; 29123;1 770 ;Есть
Подставка для снэков Mind Reader SNACKCAR-BLK; SNACKCAR-BLK;5 116 ;Есть
Рукавица Kool–Tek Crewware KT0215; KT0215;5 264.22 ;Есть
Фарфоровое блюдо Revol 0,6 л.  ; 5412400002969;9 079.74 ;Есть
Разделочная доска San Jamar (белая, 457х610 мм.); CBG182412WH;27 927 ;Есть
Разделочная доска San Jamar (зеленая, 457х610 мм.); CBG182412GN;4 469 ;Есть
Разделочная доска San Jamar (красная, 457х610 мм.); CBG182412RD;5 018.12 ;Есть
Абразивный камень для очистки чугунных поверхностей Krampouz APA1; APA1 ;5 266.84 ;Есть
Разделочная доска San Jamar (голубая, 457х610 мм.); CBG182412BL;9 791.87 ;Есть
Разделочная доска San Jamar (желтая, 457х610 мм.); CBG182412YL;3 893 ;Есть
Рукавица Kool–Tek Crewware KT0118K;  KT0118K ;5 515.56 ;Есть
Перчатки для морозильника Crewware 20PD; 20PD ;5 525.16 ;Есть
Рукавица Kool–Tek Crewware KT0115K; KT0115K ;5 599.35 ;Есть
Нож для очистки кожуры серии Connoisseur 89 мм. Dexter-Russell 50-3 1/2-PCP; 15032;5 765 ;Есть
Набор посуды из нержавеющей стали Magefesa Style; 01BXSTYLE04;8 248.04 ;Есть
Рукавицы для работы с фритюрницами Fryer Crewware 6786RMT; 6786RMT;5 889.96 ;Есть
Магнитный органайзер комплект из 5 предметов Urbio Perch 5-Piece Starter Kit; SKU PER-001;2 911.75 ;Есть
Комплект Color kit white 34.3013.000; 34.3013.000 ;6 365.59 ;Есть
Диск FC-1 для нарезки ломтиками толщиной 1 мм.; 1010215;4 806.92 ;Есть
